"idhod","hodnota","stapro_kod","casz_cis","casz_kod","stavprace_cis","stavprace_kod","oceneni_cis","oceneni_kod","ocisteni_cis","ocisteni_kod","mesic","rok","mesicz","rokz","stapro_txt","casz_txt","stavprace_txt","oceneni_txt","ocisteni_txt"
"1267053072","95.7","5939","7626","C","175","023",,,,,"4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","běžné ceny","neočištěno"
"1267044729","106.2","5939","7626","C","175","024","7603","P","7604","O","4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267044353","97.6","5939","7626","C",,,"7603","P",,,"4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","neočištěno"
"1267055476","109.8","5939","7626","C","175","024","7603","P","7604","P","4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267044732","97.6","5939","7626","C",,,"7603","P","7604","P","4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267041032","91.4","5939","7626","C","175","023","7603","P","7604","O","4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267044351","92.3","5939","7626","C","175","023","7603","P",,,"4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267056112","92.3","5939","7626","C","175","023","7603","P","7604","P","4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267056111","96.2","5939","7626","C",,,"7603","P","7604","O","4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267061232","109.9","5939","7626","C","175","024","7603","P",,,"4","2020","4","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267047397","93.3","5939","7626","C",,,,,,,"5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","běžné ceny","neočištěno"
"1267051699","99.7","5939","7626","C","175","024",,,,,"5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","běžné ceny","neočištěno"
"1267060319","90","5939","7626","C","175","023",,,,,"5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","běžné ceny","neočištěno"
"1267055770","100.1","5939","7626","C","175","024","7603","P","7604","O","5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267051693","90","5939","7626","C",,,"7603","P",,,"5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","neočištěno"
"1267050750","99.3","5939","7626","C","175","024","7603","P","7604","P","5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267026990","93.3","5939","7626","C",,,"7603","P","7604","P","5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267040206","90.3","5939","7626","C","175","023","7603","P","7604","O","5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267061191","86.9","5939","7626","C","175","023","7603","P",,,"5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267026991","90.2","5939","7626","C","175","023","7603","P","7604","P","5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
